TS,Temp,OLR,HRT,pH,BMY,CH4 (%)
18.4,37.0,2.4,20.0,7.6,196.5,58.4
18.4,37.0,2.4,20.0,7.4,188.4,59.2
18.4,37.0,2.4,20.0,7.6,160.6,57.3
18.4,37.0,2.4,20.0,7.3,166.7,58.4
18.4,37.0,2.4,20.0,7.7,174.2,59.3
18.4,37.0,2.4,20.0,7.5,169.5,56.4
18.4,37.0,3.4,14.0,7.4,242.7,59.9
18.4,37.0,3.4,14.0,7.2,238.6,57.7
18.4,37.0,3.4,14.0,7.4,235.8,64.8
18.4,37.0,3.4,14.0,7.5,230.8,60.4
18.4,37.0,3.4,14.0,7.3,236.1,63.1
18.4,37.0,3.4,14.0,7.5,222.8,62.4
18.4,37.0,2.4,24.0,7.5,200.0,48.7
18.4,37.0,2.4,24.0,7.7,220.0,48.6
18.4,37.0,2.4,24.0,7.7,213.6,52.8
18.4,37.0,2.4,24.0,7.6,225.8,46.6
18.4,37.0,2.4,24.0,7.5,230.5,51.6
18.4,37.0,2.4,24.0,7.7,232.6,52.6
3.0,37.0,1.1,20.0,7.2,173.6,52.8
2.8,37.0,1.1,20.0,7.3,195.4,46.6
3.0,37.0,1.1,20.0,7.1,176.4,51.6
3.1,37.0,1.1,20.0,7.3,173.6,52.6
3.0,37.0,1.4,20.0,7.1,200.8,33.0
3.6,37.0,1.4,20.0,6.9,157.4,47.0
3.2,37.0,1.4,20.0,6.9,151.9,47.0
3.5,37.0,1.0,20.0,6.8,214.3,45.0
3.2,37.0,1.0,20.0,7.2,168.2,48.0
3.1,37.0,1.0,20.0,7.0,208.9,49.0
3.1,37.0,1.0,20.0,7.0,198.1,48.0
3.3,37.0,0.9,20.0,6.9,184.5,25.0
3.7,37.0,0.9,20.0,7.1,154.7,46.0
3.6,37.0,0.9,20.0,7.2,198.1,50.0
3.7,37.0,0.9,20.0,7.1,257.8,32.0
3.5,37.0,0.9,20.0,7.3,179.1,51.0
3.9,37.0,0.9,20.0,7.1,187.2,50.0
3.8,37.0,1.0,20.0,7.2,206.2,51.0
3.4,37.0,1.0,20.0,7.1,265.9,52.0
3.9,37.0,1.0,20.0,7.1,320.2,45.7
3.7,37.0,1.0,20.0,7.0,271.3,45.6
3.1,37.0,1.0,20.0,7.2,263.2,45.6
3.6,37.0,1.0,20.0,7.0,287.6,45.5
10.0,55.0,3.1,10.0,7.2,248.7,58.7
10.0,55.0,1.4,10.0,7.1,216.1,54.9
10.0,55.0,1.2,16.2,7.2,193.5,51.5
10.0,55.0,1.6,16.2,7.5,196.0,39.1
10.0,55.0,4.0,20.0,7.4,336.7,36.4
10.0,55.0,1.0,20.0,7.5,341.7,37.2
10.0,55.0,6.4,15.0,7.8,341.7,36.4
10.0,55.0,3.2,14.0,7.7,389.5,40.6
10.0,55.0,2.1,14.0,7.9,389.5,39.1
10.0,55.0,2.2,14.0,7.9,379.4,39.8
10.0,55.0,2.5,14.0,8.0,326.6,41.3
10.0,55.0,2.3,14.0,7.9,364.3,50.8
10.0,55.0,2.7,14.0,7.4,356.8,37.2
10.0,55.0,1.9,14.0,7.7,366.8,33.8
10.0,55.0,2.4,14.0,7.7,236.2,37.9
10.0,55.0,1.7,14.0,7.9,326.6,51.1
10.0,55.0,3.4,14.0,7.8,379.4,50.8
10.0,55.0,2.2,14.0,8.0,437.2,43.6
10.0,55.0,1.1,14.0,7.8,306.5,44.7
10.0,55.0,2.2,14.0,7.8,283.9,44.3
10.0,55.0,2.0,14.0,7.6,208.5,42.8
10.0,55.0,3.0,14.0,7.6,196.0,34.9
10.0,55.0,3.9,14.0,7.6,165.8,38.7
10.0,55.0,6.8,14.0,7.5,276.4,28.9
10.0,55.0,6.8,14.0,7.5,211.1,31.5
10.0,55.0,2.0,14.0,7.6,246.2,30.8
10.0,55.0,3.2,14.0,7.5,236.2,36.0
10.0,55.0,0.6,14.0,7.3,263.8,28.1
10.0,55.0,2.3,14.0,7.4,216.1,31.9
10.0,55.0,4.0,14.0,7.3,223.6,28.5
10.0,55.0,3.3,14.0,7.3,180.9,30.4
10.0,55.0,3.4,14.0,7.1,246.2,28.9
10.0,55.0,3.4,14.0,7.2,183.4,31.1
10.0,55.0,3.4,14.0,7.1,268.8,28.1
